Kelas,Kehadiran,Nilai rata-rata tugas,Rata-rata Ulangan Harian,Nilai Asli PTS,Status ekonomi keluarga ,Dukungan keluarga,Jumlah Jam Belajar,Teknologi dan Akses ke Sumber Belajar,Jumlah Kegiatan Ekstrakurikuler ,Hasil Akhir Semeter 
9,97,88,85,65,Rendah,Ya,2,Ya,2,Tidak Lulus
9,100,89,85,70,Tinggi,Ya,0,Ya,2,Tidak Lulus
9,95,94,88,50,Tinggi,Ya,3,Ya,3,Lulus
9,96,92,85,65,Tinggi,Ya,1,Ya,2,Lulus
9,97,90,85,68,Rendah,Ya,1,Ya,2,Tidak Lulus
9,97,83,76,50,Rendah,Ya,3,Ya,2,Tidak Lulus
9,100,85,79,70,Tinggi,Ya,2,Ya,2,Tidak Lulus
9,100,87,80,71,Rendah,Ya,2,Ya,2,Tidak Lulus
9,96,90,87,72,Tinggi,Ya,2,Ya,2,Tidak Lulus
9,96,96,88,78,Tinggi,Ya,3,Ya,2,Lulus
9,100,90,87,70,Tinggi,Ya,2,Tidak,2,Tidak Lulus
9,99,80,75,55,Rendah,Ya,2,Ya,2,Tidak Lulus
9,92,80,73,60,Rendah,Ya,1,Ya,2,Tidak Lulus
9,97,73,70,60,Rendah,Tidak,0,Ya,2,Tidak Lulus
